Class,Clade_specific_expansion,Gene,Aurelia_scaffold,Aurelia_new,Rhopilema_prot,Rhopilema_gene,Sanderia_prot,Sanderia_gene,Tripedalia,Clytia,Hydra,Nematostella,Exaptaisia 
FOXQ2.2,Medusozoan_FOXQ2.2_expansion,FOXQ2.2C,scaffold3.g220.t1_66-148,,XP_065060136.1_50-134,,ENSXQXP00000028966.1_ENSXQXG00000020125.1_109-192,,-,XLOC_035798_54-137,HVAEP9.G016939_64-148,,
FOXQ2.2,Medusozoan_FOXQ2.2_expansion,FOXQ2.2D,scaffold6.g184.t1_105-189,,XP_065064909.1_111-195,,ENSXQXP00000029362.1_ENSXQXG00000020381.1_92-176,,ENA_GHAQ01104189_GHAQ01104189.1_113-197,XLOC_004250_129-210,-,,
FOXQ2.2,Medusozoan_FOXQ2.2_expansion,FOXQ2.2E,scaffold1.g49.t1_110-194,,XP_065059072.1_103-187,,ENSXQXP00000007747.1_ENSXQXG00000005939.1_118-202,,ENA_GHAQ01054078_GHAQ01054078.1_176-260,XLOC_011738_129-213,,,
FOXQ2.2,Hydra_duplication_of_FOXQ2.2E,FOXQ2.2E1,,,,,,,,,HVAEP12.G021359_79-163,,
FOXQ2.2,Hydra_duplication_of_FOXQ2.2E,FOXQ2.2E2,,,,,,,,,HVAEP12.G021363_53-137,,
FOXQ2.2,,FOXQ2.2F,scaffold8.g689.t1_202-286,,-,,-,,-,XLOC_010956_92-177,HVAEP13.G025203_51-135,,
FOXQ2.2,Anthozoan_duplication_of_FOXQ2.2F,FOXQ2.2F1,,,,,,,,,,NV2.13108.1_98-182,XP_020894072.1_105-189
FOXQ2.2,Anthozoan_duplication_of_FOXQ2.2F,FOXQ2.2F2,,,,,,,,,,NV2.13437.1_79-163,XP_020916973.1_80-164
FOXE,,FOXE,,,,,,,,,,NV2.413.1_42-128,XP_020891796.1_82-168
FOXQ1,,FOXQ1,,,,,,,,,,NV2.4570.1_18-103,XP_020896644.1_16-101
Uncertain_FOXF/H/Q1,,,scaffold14.g311.t1_55-142,,,,ENSXQXP00000008067.1_ENSXQXG00000006168.1_86-173,,,,,,
Unplaced_FOXQ2.2,,,,,,,,,ENA_GHAQ01006626_GHAQ01006626.1_152-233,,,,
Unplaced ,,Ant_unplacedFOX1,,,,,,,,,,NV2.30003.1_60-147,XP_020905431.1_62-149
Unplaced ,,Ant_unplacedFOX2,,,,,,,,,,NV2.7345.1_65-151,XP_020914209.1_60-146
Unplaced,,Scy_unplacedFOX,scaffold17.g697.t1_165-246,,XP_065070786.1_86-167,,-,,,,,,
