Class;Clade_specific_expansion;Gene;Aurelia_scaffold;Aurelia_new_genes;Rhopilema_prot;Rhopilema_gene;Sanderia_prot;Sanderia_gene;Tripedalia;Clytia;Hydra;Nematostella;Exaptaisia
FOXA;;FOXA;scaffold16.g749;ACOE016G020206;XP_065052199.1;LOC135681587;ENSXQXP00000024501.1;ENSXQXG00000017190.1;ENA_GHAQ01132272_GHAQ01132272.1;XLOC_044586;HVAEP6.G011613;NV2.11441.1;XP_020893103.1
FOXB;;FOXB;-;NA;-;NA;-;NA;;-;-;NV2.25999.1;XP_020904925.1
FOXB;Scyphozoan_specific_FOXB_duplication;ScyFOXB1;foxB1;NA;FoxB1_NW_027019762.1_7813099-7813888_translated;NA;ENSXQXP00000011504.1;ENSXQXG00000008379.1;ENA_GHAQ01133162_GHAQ01133162.1;;;-;-
FOXB;Scyphozoan_specific_FOXB_duplication;ScyFOXB2;scaffold13.g642;ACOE013G016949;XP_065066175.1;LOC135692080;ENSXQXP00000012300.1;ENSXQXG00000008891.1;;;;-;-
FOXB;Scyphozoan_specific_FOXB_duplication;ScyFOXB3;scaffold8.g352;ACOE008G010792;;NA;ENSXQXP00000015714.1;ENSXQXG00000011219.1;;;;-;-
FOXB;Hydrozoan_specific_FOXB_duplication;HydFOXB1;-;NA;-;NA;-;NA;-;XLOC_018078;HVAEP12.G022887;-;-
FOXB;Hydrozoan_specific_FOXB_duplication;HydFOXB2;-;NA;-;NA;-;NA;-;XLOC_042605;;-;-
FOXA/B;-;FOXA/B;-;NA;-;NA;-;NA;-;-;-;NV2.23888.1;XP_020904840.1
FOXL2;;FOXL2;-;NA;-;NA;-;NA;ENA_GHAQ01075739_GHAQ01075739.1;XLOC_004809;-;NV2.14459.1;XP_020913639.1
FOXL2;Scyphozoan_specific_FOXL2_duplication;FOXL2.1;scaffold19.g81;ACOE019G022282;XP_065060654.1;LOC135687949;;NA;-;-;-;-;-
FOXL2;Rhopilema_specific_FOXL2.1_duplication;FOXL2.1;;NA;XP_065061122.1;LOC135688274;ENSXQXP00000023261.1;ENSXQXG00000016430.1;-;-;-;-;-
FOXL2;Scyphozoan_specific_FOXL2_duplication;FOXL2.2;scaffold19.g80;ACOE019G022281;XP_065060653.1;LOC135687948;ENSXQXP00000023434.1;ENSXQXG00000016538.1;-;-;-;-;-
FOXG;;FOXG;-;NA;-;NA;-;NA;-;-;-;NV2.20035.1;XP_020909243.2
FOXQ2.1;;FOXQ2.1;-;NA;XP_065051725.1;LOC135681274;ENSXQXP00000023407.1;ENSXQXG00000016521.1;;XLOC_014597;;NV2.23678.1;XP_020908211.1
FOXQ2.2;Anthozoan_orthologs_of_Medusozoan_expansion;FOXQ2.2A/B/C/D/E;;NA;;NA;;NA;;;;NV2.232.1;XP_020903273.1
FOXQ2.2;Anthozoan_orthologs_of_Medusozoan_expansion;FOXQ2.2A/B/C/D/E;;NA;;NA;;NA;;;;NV2.1396.1;XP_020903274.1
FOXQ2.2;Medusozoan_FOXQ2.2_expansion;FOXQ2.2A;scaffold3.g570;ACOE003G004093;XP_065066505.1;LOC135692314;ENSXQXP00000032249.1;ENSXQXG00000022448.1;ENA_GHAQ01037600_GHAQ01037600.1;;;;
FOXQ2.2;Hydrozoan_specific_duplication_of_FOXQ2.2A;FOXQ2.2A1;;NA;;NA;;NA;;XLOC_003681;HVAEP9.G016399;;
FOXQ2.2;Hydrozoan_specific_duplication_of_FOXQ2.2A;FOXQ2.2A2;;NA;;NA;;NA;;XLOC_000890;;;
FOXQ2.2;Medusozoan_FOXQ2.2_expansion;FOXQ2.2B;scaffold18.g466;ACOE018G021866;XP_065060371.1;LOC135687676;ENSXQXP00000031108.1;ENSXQXG00000021611.1;ENA_GHAQ01020424_GHAQ01020424.1;-;-;;
FOXQ2.2;Medusozoan_FOXQ2.2_expansion;FOXQ2.2C;scaffold3.g220;ACOE003G003695;XP_065060136.1;LOC135687490;ENSXQXP00000028966.1;ENSXQXG00000020125.1;-;XLOC_035798;HVAEP9.G016939;;
FOXQ2.2;Medusozoan_FOXQ2.2_expansion;FOXQ2.2D;scaffold6.g184;ACOE006G008116;XP_065064909.1;LOC135691085;ENSXQXP00000029362.1;ENSXQXG00000020381.1;ENA_GHAQ01104189_GHAQ01104189.1;XLOC_004250;-;;
FOXQ2.2;Medusozoan_FOXQ2.2_expansion;FOXQ2.2E;scaffold1.g49;ACOE001G000051;XP_065059072.1;LOC135686708;ENSXQXP00000007747.1;ENSXQXG00000005939.1;ENA_GHAQ01054078_GHAQ01054078.1;XLOC_011738;;;
FOXQ2.2;Hydra_duplication_of_FOXQ2.2E;FOXQ2.2E1;;NA;;NA;;NA;;;HVAEP12.G021359;;
FOXQ2.2;Hydra_duplication_of_FOXQ2.2E;FOXQ2.2E2;;NA;;NA;;NA;;;HVAEP12.G021363;;
FOXQ2.2;;FOXQ2.2F;scaffold8.g689;ACOE008G011335;-;NA;-;NA;-;XLOC_010956;HVAEP13.G025203;;
FOXQ2.2;Anthozoan_duplication_of_FOXQ2.2F;FOXQ2.2F1;;NA;;NA;;NA;;;;NV2.13108.1;XP_020894072.1
FOXQ2.2;Anthozoan_duplication_of_FOXQ2.2F;FOXQ2.2F2;;NA;;NA;;NA;;;;NV2.13437.1;XP_020916973.1
FOXE;;FOXE;;NA;;NA;;NA;;;;NV2.413.1;XP_020891796.1
FOXQ1;;FOXQ1;;NA;;NA;;NA;;;;NV2.4570.1;XP_020896644.1
Uncertain_FOXF/H/Q1;;;scaffold14.g311;ACOE014G017493;;NA;ENSXQXP00000008067.1;ENSXQXG00000006168.1;;;;;
Unplaced_FOXQ2.2;;;;NA;;NA;;NA;ENA_GHAQ01006626_GHAQ01006626.1;;;;
Unplaced ;;Ant_unplacedFOX1;;NA;;NA;;NA;;;;NV2.30003.1;XP_020905431.1
Unplaced ;;Ant_unplacedFOX2;;NA;;NA;;NA;;;;NV2.7345.1;XP_020914209.1
Unplaced;;Scy_unplacedFOX;scaffold17.g697;ACOE017G021211;XP_065070786.1;LOC135695585;-;NA;;;;;
